,city_num,3num,alphabet,2num,location,city
961416005##20181221_095947.jpg##NR##1.jpg,66.0,885,د,93,tehran,tehran
961416005##20181221_095953.jpg##NR##1.jpg,11.0,971,ق,15,tehran,tehran
961416005##20181221_095957.jpg##NR##1.jpg,88.0,299,س,64,tehran,tehran
961416005##20181221_100000.jpg##NR##1.jpg,33.0,526,د,18,tehran,tehran
961416005##20181221_100017.jpg##NR##1.jpg,66.0,726,و,84,tehran,tehran
961416005##20181221_100021.jpg##NR##1.jpg,44.0,358,ق,72,tehran,tehran
961416005##20181221_100043.jpg##NR##1.jpg,66.0,395,ن,82,tehran,tehran
961416005##20181221_100054.jpg##NR##1.jpg,38.0,715,م,32,karaj,charbagh
961416005##20181221_100105.jpg##NR##1.jpg,55.0,199,د,13,tehran,tehran
961416005##20181221_100110.jpg##NR##1.jpg,44.0,331,ل,36,tehran,tehran
961416005##20181221_100114.jpg##NR##1.jpg,55.0,714,و,66,tehran,tehran
961416005##20181221_100118.jpg##NR##1.jpg,10.0,387,م,68,tehran,tehran
961416005##20181221_100122.jpg##NR##1.jpg,11.0,876,د,52,tehran,tehran
961416005##20181221_100127.jpg##NR##1.jpg,20.0,218,ب,89,tehran,tehran
961416005##20181221_100143.jpg##NR##1.jpg,11.0,667,و,39,tehran,tehran
961416005##20181221_100146.jpg##NR##1.jpg,55.0,747,ق,53,tehran,tehran
961416005##20181221_100158.jpg##NR##1.jpg,99.0,979,د,23,tehran,tehran
961416005##20181221_100203.jpg##NR##1.jpg,10.0,488,س,53,tehran,tehran
961416005##20181221_100210.jpg##NR##1.jpg,55.0,481,ل,15,tehran,tehran
961416005##20181221_100215.jpg##NR##1.jpg,11.0,592,ه,75,tehran,tehran
961416005##20181221_100220.jpg##NR##1.jpg,66.0,922,ط,67,tehran,tehran
961416005##20181221_100229.jpg##NR##1.jpg,55.0,673,ه,44,tehran,tehran
961416005##20181221_100242.jpg##NR##1.jpg,38.0,845,س,78,karaj,eshtehard
961416005##20181221_100248.jpg##NR##1.jpg,55.0,226,ب,74,tehran,tehran
961416005##20181221_100257.jpg##NR##1.jpg,68.0,538,و,81,karaj,karaj
961416005##20181221_100317.jpg##NR##1.jpg,10.0,857,د,61,tehran,tehran
961416005##20181221_100332.jpg##NR##1.jpg,44.0,716,ل,43,tehran,tehran
961416005##20181221_100337.jpg##NR##1.jpg,88.0,691,ه,54,tehran,tehran
961416005##20181221_100341.jpg##NR##1.jpg,99.0,316,ب,68,tehran,tehran
961416005##20181221_100347.jpg##NR##1.jpg,77.0,696,ب,27,tehran,tehran
961416005##20181221_100353.jpg##NR##1.jpg,55.0,773,ط,58,tehran,tehran
961416005##20181221_100356.jpg##NR##1.jpg,11.0,247,ق,77,tehran,tehran
961416005##20181221_100404.jpg##NR##1.jpg,11.0,895,ع,98,tehran,tehran
961416005##20181221_100419.jpg##NR##1.jpg,88.0,492,ج,69,tehran,tehran
961416005##20181221_100424.jpg##NR##1.jpg,20.0,657,ب,72,tehran,tehran
961416005##20181221_100427.jpg##NR##1.jpg,55.0,786,ص,62,tehran,tehran
961416005##20181221_100432.jpg##NR##1.jpg,44.0,242,ل,78,tehran,tehran
961416005##20181221_100436.jpg##NR##1.jpg,33.0,386,ت,95,tehran,tehran
961416005##20181221_100440.jpg##NR##1.jpg,88.0,583,ص,72,tehran,tehran
961416005##20181221_100502.jpg##NR##1.jpg,55.0,217,ج,86,tehran,tehran
961416005##20181221_100506.jpg##NR##1.jpg,55.0,844,ط,71,tehran,tehran
961416005##20181221_100508.jpg##NR##1.jpg,66.0,733,ل,96,tehran,tehran
961416005##20181221_100517.jpg##NR##1.jpg,10.0,195,م,98,tehran,tehran
961416005##20181221_100527.jpg##NR##1.jpg,99.0,224,ط,79,tehran,tehran
961416005##20181221_100535.jpg##NR##1.jpg,44.0,697,و,72,tehran,tehran
961416005##20181221_100538.jpg##NR##1.jpg,10.0,565,ه,31,tehran,tehran
961416005##20181221_100550.jpg##NR##1.jpg,22.0,897,س,21,tehran,tehran
961416005##20181221_100558.jpg##NR##1.jpg,20.0,583,ب,47,tehran,tehran
961416005##20181221_100612.jpg##NR##1.jpg,45.0,812,ج,58,kerman,kerman
961416005##20181221_100618.jpg##NR##1.jpg,11.0,325,م,28,tehran,tehran
961416005##20181221_100624.jpg##NR##1.jpg,10.0,347,ی,52,tehran,tehran
961416005##20181221_100639.jpg##NR##1.jpg,88.0,179,ط,93,tehran,tehran
961416005##20181221_100644.jpg##NR##1.jpg,44.0,624,ب,98,tehran,tehran
961416005##20181221_100650.jpg##NR##1.jpg,44.0,816,ن,26,tehran,tehran
961416005##20181221_100654.jpg##NR##1.jpg,55.0,864,و,27,tehran,tehran
961416005##20181221_100657.jpg##NR##1.jpg,20.0,581,ج,56,tehran,tehran
961416005##20181221_100701.jpg##NR##1.jpg,77.0,642,ی,16,tehran,tehran
961416005##20181221_100704.jpg##NR##1.jpg,20.0,215,د,71,tehran,tehran
961416005##20181221_100723.jpg##NR##1.jpg,88.0,817,ل,71,tehran,tehran
961416005##20181221_100727.jpg##NR##1.jpg,88.0,465,ه,89,tehran,tehran
961416005##20181221_100730.jpg##NR##1.jpg,55.0,598,ق,86,tehran,tehran
961416005##20181221_100734.jpg##NR##1.jpg,20.0,199,د,25,tehran,tehran
961416005##20181221_100739.jpg##NR##1.jpg,88.0,462,د,99,tehran,tehran
961416005##20181221_100748.jpg##NR##1.jpg,99.0,475,و,92,tehran,tehran
961416005##20181221_100753.jpg##NR##1.jpg,10.0,577,ق,29,tehran,tehran
961416005##20181221_100756.jpg##NR##1.jpg,77.0,112,م,73,tehran,tehran
961416005##20181221_100800.jpg##NR##1.jpg,99.0,656,ل,95,tehran,tehran
961416005##20181221_100812.jpg##NR##1.jpg,77.0,361,ط,36,tehran,tehran
961416005##20181221_100814.jpg##NR##1.jpg,10.0,177,ص,48,tehran,tehran
961416005##20181221_100818.jpg##NR##1.jpg,33.0,867,ل,92,tehran,tehran
961416005##20181221_100822.jpg##NR##1.jpg,44.0,645,م,72,tehran,tehran
961416005##20181221_100829.jpg##NR##1.jpg,88.0,944,ن,35,tehran,tehran
961416005##20181221_100832.jpg##NR##1.jpg,44.0,531,ص,19,tehran,tehran
961416005##20181221_100835.jpg##NR##1.jpg,25.0,188,ط,47,azarbaijan sharghi,jolfa
961416005##20181221_100848.jpg##NR##1.jpg,22.0,213,ت,13,tehran,tehran
961416005##20181221_100855.jpg##NR##1.jpg,99.0,813,د,46,tehran,tehran
961416005##20181221_100915.jpg##NR##1.jpg,66.0,785,د,85,tehran,tehran
961416005##20181221_100919.jpg##NR##1.jpg,11.0,237,ی,61,tehran,tehran
961416005##20181221_100926.jpg##NR##1.jpg,11.0,221,ی,71,tehran,tehran
961416005##20181221_100942.jpg##NR##1.jpg,99.0,328,م,55,tehran,tehran
961416005##20181221_100947.jpg##NR##1.jpg,89.0,252,ب,53,ghazvin,ghazvin
961416005##20181221_100951.jpg##NR##1.jpg,10.0,928,م,65,tehran,tehran
961416005##20181221_100954.jpg##NR##1.jpg,99.0,365,ل,86,tehran,tehran
961416005##20181221_101001.jpg##NR##1.jpg,10.0,749,ط,99,tehran,tehran
961416005##20181221_101007.jpg##NR##1.jpg,22.0,929,د,91,tehran,tehran
961416005##20181221_101010.jpg##NR##1.jpg,11.0,317,ن,23,tehran,tehran
961416005##20181221_101036.jpg##NR##1.jpg,11.0,584,ویلچر,67,tehran,tehran
961416005##20181221_101046.jpg##NR##1.jpg,10.0,724,ه,72,tehran,tehran
961416005##20181221_101053.jpg##NR##1.jpg,44.0,827,د,37,tehran,tehran
961416005##20181221_101057.jpg##NR##1.jpg,11.0,487,د,17,tehran,tehran
961416005##20181221_101102.jpg##NR##1.jpg,55.0,549,ب,16,tehran,tehran
961416005##20181221_101106.jpg##NR##1.jpg,44.0,375,ط,31,tehran,tehran
961416005##20181221_101114.jpg##NR##1.jpg,44.0,427,ط,44,tehran,tehran
961416005##20181221_101117.jpg##NR##1.jpg,77.0,884,ج,47,tehran,tehran
961416005##20181221_101136.jpg##NR##1.jpg,77.0,924,ج,38,tehran,tehran
961416005##20181221_101143.jpg##NR##1.jpg,11.0,784,ص,11,tehran,tehran
961416005##20181221_101147.jpg##NR##1.jpg,33.0,395,ی,44,tehran,tehran
961416005##20181221_101151.jpg##NR##1.jpg,55.0,254,ب,11,tehran,tehran
961416005##20181221_101157.jpg##NR##1.jpg,11.0,428,ص,47,tehran,tehran
961416005##20181221_101209.jpg##NR##1.jpg,55.0,161,م,47,tehran,tehran
961416005##20181221_101230.jpg##NR##1.jpg,66.0,536,ب,51,tehran,tehran
961416005##20181221_101238.jpg##NR##1.jpg,10.0,132,ن,55,tehran,tehran
961416005##20181221_101242.jpg##NR##1.jpg,10.0,953,س,23,tehran,tehran
961416005##20181221_101247.jpg##NR##1.jpg,66.0,578,ب,74,tehran,tehran
961416005##20181221_101253.jpg##NR##1.jpg,55.0,629,ج,99,tehran,tehran
961416005##20181221_101304.jpg##NR##1.jpg,88.0,791,د,51,tehran,tehran
961416005##20181221_101321.jpg##NR##1.jpg,88.0,454,ب,53,tehran,tehran
961416005##20181221_101332.jpg##NR##1.jpg,64.0,924,ص,13,yazd,mehriz
961416005##20181221_101336.jpg##NR##1.jpg,66.0,443,ب,38,tehran,tehran
961416005##20181221_101345.jpg##NR##1.jpg,10.0,496,ج,29,tehran,tehran
961416005##20181221_101350.jpg##NR##1.jpg,99.0,782,س,19,tehran,tehran
961416005##20181221_101353.jpg##NR##1.jpg,44.0,183,ه,31,tehran,tehran
961416005##20181221_101404.jpg##NR##1.jpg,33.0,953,ل,74,tehran,tehran
961416005##20181221_101410.jpg##NR##1.jpg,55.0,458,ی,52,tehran,tehran
961416005##20181221_101414.jpg##NR##1.jpg,11.0,423,ه,73,tehran,tehran
961416005##20181221_101419.jpg##NR##1.jpg,55.0,351,ص,47,tehran,tehran
961416005##20181221_101430.jpg##NR##1.jpg,55.0,986,ل,58,tehran,tehran
961416005##20181221_101441.jpg##NR##1.jpg,33.0,998,ص,53,tehran,tehran
961416005##20181221_101449.jpg##NR##1.jpg,77.0,992,د,16,tehran,tehran
961416005##20181221_101458.jpg##NR##1.jpg,99.0,121,ل,55,tehran,tehran
961416005##20181221_101502.jpg##NR##1.jpg,44.0,228,و,42,tehran,tehran
961416005##20181221_101509.jpg##NR##1.jpg,10.0,949,ط,75,tehran,tehran
961416005##20181221_101512.jpg##NR##1.jpg,11.0,128,ه,25,tehran,tehran
961416005##20181221_101515.jpg##NR##1.jpg,66.0,511,د,24,tehran,tehran
961416005##20181221_101515.jpg##NR##2.jpg,77.0,646,س,76,tehran,tehran
961416005##20181221_101525.jpg##NR##1.jpg,44.0,894,ص,37,tehran,tehran
961416005##20181221_101531.jpg##NR##1.jpg,20.0,953,ب,31,tehran,tehran
961416005##20181221_101538.jpg##NR##1.jpg,77.0,916,ط,41,tehran,tehran
961416005##20181221_101547.jpg##NR##1.jpg,10.0,484,و,81,tehran,tehran
961416005##20181221_101602.jpg##NR##1.jpg,55.0,721,و,96,tehran,tehran
961416005##20181221_101606.jpg##NR##1.jpg,99.0,755,ه,34,tehran,tehran
961416005##20181221_101610.jpg##NR##1.jpg,11.0,672,ط,15,tehran,tehran
961416005##20181221_101614.jpg##NR##1.jpg,20.0,271,س,12,tehran,tehran
961416005##20181221_101647.jpg##NR##1.jpg,10.0,528,ق,41,tehran,tehran
961416005##20181221_101654.jpg##NR##1.jpg,99.0,133,د,16,tehran,tehran
961416005##20181221_101654.jpg##NR##2.jpg,77.0,775,و,49,tehran,tehran
961416005##20181221_101704.jpg##NR##1.jpg,99.0,629,ص,52,tehran,tehran
961416005##20181221_101717.jpg##NR##1.jpg,11.0,327,د,87,tehran,tehran
961416005##20181221_101732.jpg##NR##1.jpg,55.0,769,ن,43,tehran,tehran
961416005##20181221_101736.jpg##NR##1.jpg,66.0,542,ط,65,tehran,tehran
961416005##20181221_101744.jpg##NR##1.jpg,55.0,893,و,14,tehran,tehran
961416005##20181221_101747.jpg##NR##1.jpg,66.0,668,ب,88,tehran,tehran
961416005##20181221_101752.jpg##NR##1.jpg,33.0,658,س,75,tehran,tehran
961416005##20181221_101756.jpg##NR##1.jpg,11.0,121,د,86,tehran,tehran
961416005##20181221_101801.jpg##NR##1.jpg,55.0,345,س,89,tehran,tehran
961416005##20181221_101813.jpg##NR##1.jpg,10.0,177,ن,41,tehran,tehran
961416005##20181221_101826.jpg##NR##1.jpg,33.0,593,د,77,tehran,tehran
961416005##20181221_101833.jpg##NR##1.jpg,28.0,349,ل,24,hamedan,hamedan
961416005##20181221_101833.jpg##NR##2.jpg,55.0,467,ط,27,tehran,tehran
961416005##20181221_101839.jpg##NR##1.jpg,10.0,297,ه,78,tehran,tehran
961416005##20181221_101842.jpg##NR##1.jpg,99.0,655,ی,41,tehran,tehran
961416005##20181221_101850.jpg##NR##1.jpg,77.0,421,ط,13,tehran,tehran
961416005##20181221_101854.jpg##NR##1.jpg,10.0,343,ج,59,tehran,tehran
961416005##20181221_101904.jpg##NR##1.jpg,77.0,466,و,41,tehran,tehran
961416005##20181221_101907.jpg##NR##1.jpg,11.0,876,ج,31,tehran,tehran
961416005##20181221_101910.jpg##NR##1.jpg,77.0,248,م,11,tehran,tehran
961416005##20181221_101921.jpg##NR##1.jpg,10.0,587,ه,81,tehran,tehran
961416005##20181221_101925.jpg##NR##1.jpg,88.0,645,ق,44,tehran,tehran
961416005##20181221_101929.jpg##NR##1.jpg,10.0,862,ن,81,tehran,tehran
961416005##20181221_101940.jpg##NR##1.jpg,20.0,436,ج,56,tehran,tehran
961416005##20181221_101949.jpg##NR##1.jpg,44.0,134,ل,96,tehran,tehran
961416005##20181221_101957.jpg##NR##1.jpg,44.0,943,م,44,tehran,tehran
961416005##20181221_102006.jpg##NR##1.jpg,11.0,599,و,95,tehran,tehran
961416005##20181221_102014.jpg##NR##1.jpg,77.0,954,م,91,tehran,tehran
961416005##20181221_102021.jpg##NR##1.jpg,44.0,623,ع,89,tehran,tehran
961416005##20181221_102028.jpg##NR##1.jpg,20.0,871,ج,95,tehran,tehran
961416005##20181221_102028.jpg##NR##2.jpg,33.0,966,ب,86,tehran,tehran
961416005##20181221_102041.jpg##NR##1.jpg,99.0,565,ج,44,tehran,tehran
961416005##20181221_102106.jpg##NR##1.jpg,12.0,399,ج,86,khorasan razavi,mashhad
961416005##20181221_102109.jpg##NR##1.jpg,44.0,497,ب,76,tehran,tehran
961416005##20181221_102109.jpg##NR##2.jpg,11.0,498,ع,44,tehran,tehran
961416005##20181221_102118.jpg##NR##1.jpg,11.0,429,د,55,tehran,tehran
961416005##20181221_102122.jpg##NR##1.jpg,11.0,426,ی,99,tehran,tehran
961416005##20181221_102142.jpg##NR##1.jpg,88.0,648,ل,28,tehran,tehran
961416005##20181221_102145.jpg##NR##1.jpg,11.0,155,ه,36,tehran,tehran
961416005##20181221_102149.jpg##NR##1.jpg,55.0,469,س,56,tehran,tehran
961416005##20181221_102158.jpg##NR##1.jpg,11.0,994,ل,92,tehran,tehran
961416005##20181221_102202.jpg##NR##1.jpg,10.0,394,ی,89,tehran,tehran
961416005##20181221_102208.jpg##NR##1.jpg,55.0,762,و,45,tehran,tehran
961416005##20181221_102230.jpg##NR##1.jpg,88.0,374,ق,98,tehran,tehran
961416005##20181221_102234.jpg##NR##1.jpg,44.0,692,ع,49,tehran,tehran
961416005##20181221_102241.jpg##NR##1.jpg,44.0,632,ن,19,tehran,tehran
961416005##20181221_102247.jpg##NR##1.jpg,88.0,167,ی,38,tehran,tehran
961416005##20181221_102250.jpg##NR##1.jpg,66.0,467,ه,91,tehran,tehran
961416005##20181221_102254.jpg##NR##1.jpg,33.0,151,ب,71,tehran,tehran
961416005##20181221_102257.jpg##NR##1.jpg,55.0,947,ب,91,tehran,tehran
961416005##20181221_102300.jpg##NR##1.jpg,10.0,185,ق,86,tehran,tehran
961416005##20181221_102307.jpg##NR##1.jpg,44.0,836,ج,69,tehran,tehran
961416005##20181221_102311.jpg##NR##1.jpg,66.0,878,ج,91,tehran,tehran
961416005##20181221_102320.jpg##NR##1.jpg,10.0,312,ق,41,tehran,tehran
961416005##20181221_102329.jpg##NR##1.jpg,55.0,193,د,27,tehran,tehran
961416005##20181221_102329.jpg##NR##2.jpg,77.0,656,ط,72,tehran,tehran
961416005##20181221_102337.jpg##NR##1.jpg,55.0,149,د,95,tehran,tehran
961416005##20181221_102346.jpg##NR##1.jpg,66.0,944,د,89,tehran,tehran
961416005##20181221_102350.jpg##NR##1.jpg,77.0,595,ج,77,tehran,tehran
961416005##20181221_102401.jpg##NR##1.jpg,99.0,859,ل,95,tehran,tehran
961416005##20181221_102408.jpg##NR##1.jpg,11.0,467,ق,24,tehran,tehran
961416005##20181221_102415.jpg##NR##1.jpg,44.0,354,ه,37,tehran,tehran
961416005##20181221_102427.jpg##NR##1.jpg,88.0,133,ب,99,tehran,tehran
961416005##20181221_102427.jpg##NR##2.jpg,66.0,678,س,35,tehran,tehran
961416005##20181221_102432.jpg##NR##1.jpg,66.0,226,ه,83,tehran,tehran
961416005##20181221_102432.jpg##NR##2.jpg,88.0,993,ن,21,tehran,tehran
961416005##20181221_102439.jpg##NR##1.jpg,10.0,475,م,73,tehran,tehran
961416005##20181221_102441.jpg##NR##1.jpg,77.0,924,ط,14,tehran,tehran
961416005##20181221_102501.jpg##NR##1.jpg,33.0,386,س,66,tehran,tehran
961416005##20181221_102501.jpg##NR##2.jpg,99.0,521,ص,68,tehran,tehran
961416005##20181221_102507.jpg##NR##1.jpg,33.0,461,ل,83,tehran,tehran
961416005##20181221_102507.jpg##NR##2.jpg,44.0,431,م,19,tehran,tehran
961416005##20181221_102512.jpg##NR##1.jpg,88.0,558,ط,11,tehran,tehran
961416005##20181221_102514.jpg##NR##1.jpg,44.0,828,س,27,tehran,tehran
961416005##20181221_102520.jpg##NR##1.jpg,33.0,771,ق,12,tehran,tehran
961416005##20181221_102520.jpg##NR##2.jpg,22.0,717,س,91,tehran,tehran
961416005##20181221_102525.jpg##NR##1.jpg,33.0,186,م,95,tehran,tehran
961416005##20181221_102529.jpg##NR##1.jpg,20.0,124,ج,46,tehran,tehran
961416005##20181221_102540.jpg##NR##1.jpg,11.0,896,د,75,tehran,tehran
961416005##20181221_102540.jpg##NR##2.jpg,66.0,445,ق,46,tehran,tehran
961416005##20181221_102549.jpg##NR##1.jpg,88.0,625,ه,71,tehran,tehran
961416005##20181221_102556.jpg##NR##1.jpg,11.0,412,و,72,tehran,tehran
961416005##20181221_102607.jpg##NR##1.jpg,88.0,873,س,43,tehran,tehran
961416005##20181221_102617.jpg##NR##1.jpg,77.0,675,ه,87,tehran,tehran
961416005##20181221_102626.jpg##NR##1.jpg,20.0,845,س,21,tehran,tehran
961416005##20181221_102629.jpg##NR##1.jpg,10.0,781,ی,96,tehran,tehran
961416005##20181221_102633.jpg##NR##1.jpg,88.0,981,ط,78,tehran,tehran
961416005##20181221_102642.jpg##NR##1.jpg,77.0,754,ج,16,tehran,tehran
961416005##20181221_102659.jpg##NR##1.jpg,66.0,149,ه,37,tehran,tehran
961416005##20181221_102708.jpg##NR##1.jpg,11.0,915,ب,38,tehran,tehran
961416005##20181221_102708.jpg##NR##2.jpg,11.0,666,و,31,tehran,tehran
961416005##20181221_102714.jpg##NR##1.jpg,11.0,227,ج,53,tehran,tehran
961416005##20181221_102714.jpg##NR##2.jpg,88.0,399,ن,92,tehran,tehran
961416005##20181221_102722.jpg##NR##1.jpg,10.0,214,ق,15,tehran,tehran
961416005##20181221_102722.jpg##NR##2.jpg,33.0,392,ق,39,tehran,tehran
961416005##20181221_102730.jpg##NR##1.jpg,47.0,446,ط,18,markazi,arak
961416005##20181221_102730.jpg##NR##2.jpg,10.0,311,د,34,tehran,tehran
961416005##20181221_102737.jpg##NR##1.jpg,66.0,947,ب,51,tehran,tehran
961416005##20181221_102737.jpg##NR##2.jpg,10.0,277,ل,62,tehran,tehran
961416005##20181221_102750.jpg##NR##2.jpg,66.0,521,ط,88,tehran,tehran
961416005##20181221_102757.jpg##NR##1.jpg,77.0,743,د,14,tehran,tehran
961416005##20181221_102757.jpg##NR##2.jpg,11.0,176,ب,84,tehran,tehran
961416005##20181221_102804.jpg##NR##1.jpg,99.0,875,ص,66,tehran,tehran
961416005##20181221_102804.jpg##NR##2.jpg,66.0,513,ن,98,tehran,tehran
961416005##20181221_102811.jpg##NR##1.jpg,44.0,292,ن,93,tehran,tehran
961416005##20181221_102811.jpg##NR##2.jpg,73.0,466,ق,77,fars,fars
961416005##20181221_102820.jpg##NR##1.jpg,10.0,278,ب,61,tehran,tehran
961416005##20181221_102820.jpg##NR##2.jpg,66.0,616,س,84,tehran,tehran
961416005##20181221_102826.jpg##NR##1.jpg,22.0,398,ت,44,tehran,tehran
961416005##20181221_102826.jpg##NR##2.jpg,11.0,794,ق,67,tehran,tehran
961416005##20181221_102909.jpg##NR##1.jpg,55.0,863,ص,89,tehran,tehran
961416005##20181221_102916.jpg##NR##1.jpg,99.0,296,ی,66,tehran,tehran
961416005##20181221_102935.jpg##NR##1.jpg,10.0,176,ن,46,tehran,tehran
961416005##20181221_103000.jpg##NR##1.jpg,66.0,862,ج,71,tehran,tehran
961416005##20181221_103011.jpg##NR##1.jpg,22.0,258,ی,61,tehran,tehran
961416005##20181221_103018.jpg##NR##1.jpg,99.0,178,ه,42,tehran,tehran
961416005##20181221_103018.jpg##NR##2.jpg,55.0,695,ل,77,tehran,tehran
961416005##20181221_103020.jpg##NR##1.jpg,38.0,521,م,57,karaj,charbagh
961416005##20181221_103035.jpg##NR##1.jpg,66.0,566,ه,14,tehran,tehran
961416005##20181221_103040.jpg##NR##1.jpg,10.0,141,م,96,tehran,tehran
961416005##20181221_103042.jpg##NR##1.jpg,55.0,399,د,38,tehran,tehran
961416005##20181221_103046.jpg##NR##1.jpg,10.0,165,ط,27,tehran,tehran
961416005##20181221_103052.jpg##NR##1.jpg,33.0,158,م,15,tehran,tehran
961416005##20181221_103054.jpg##NR##1.jpg,20.0,461,د,61,tehran,tehran
961416005##20181221_103054.jpg##NR##2.jpg,99.0,121,ه,94,tehran,tehran
961416005##20181221_103059.jpg##NR##1.jpg,33.0,113,ت,84,tehran,tehran
961416005##20181221_103102.jpg##NR##1.jpg,10.0,527,ن,14,tehran,tehran
961416005##20181221_103108.jpg##NR##1.jpg,41.0,355,ج,49,lorestan,aligodarz
961416005##20181221_103116.jpg##NR##1.jpg,33.0,394,ب,91,tehran,tehran
961416005##20181221_103120.jpg##NR##1.jpg,55.0,695,ج,69,tehran,tehran
961416005##20181221_103120.jpg##NR##2.jpg,44.0,442,ج,27,tehran,tehran
961416005##20181221_103124.jpg##NR##1.jpg,44.0,442,ج,37,tehran,tehran
961416005##20181221_103124.jpg##NR##2.jpg,53.0,292,و,81,esfahan,esfahan
961416005##20181221_103133.jpg##NR##1.jpg,20.0,428,س,11,tehran,tehran
961416005##20181221_103139.jpg##NR##1.jpg,45.0,548,س,47,kerman,kerman
961416005##20181221_103143.jpg##NR##1.jpg,55.0,551,ط,47,tehran,tehran
961416005##20181221_103200.jpg##NR##1.jpg,55.0,686,ل,74,tehran,tehran
961416005##20181221_103229.jpg##NR##1.jpg,77.0,962,ط,54,tehran,tehran
961416005##20181221_103229.jpg##NR##2.jpg,88.0,677,ی,65,tehran,tehran
961416005##20181221_103232.jpg##NR##1.jpg,44.0,867,د,13,tehran,tehran
961416005##20181221_103242.jpg##NR##1.jpg,66.0,166,ص,21,tehran,tehran
961416005##20181221_103249.jpg##NR##1.jpg,77.0,629,م,85,tehran,tehran
961416005##20181221_103258.jpg##NR##1.jpg,22.0,589,ت,37,tehran,tehran
961416005##20181221_103310.jpg##NR##1.jpg,88.0,239,ل,79,tehran,tehran
961416005##20181221_103323.jpg##NR##1.jpg,10.0,529,ل,21,tehran,tehran
961416005##20181221_103344.jpg##NR##1.jpg,44.0,593,ن,26,tehran,tehran
961416005##20181221_103358.jpg##NR##2.jpg,33.0,719,ع,72,tehran,tehran
961416005##20181221_103408.jpg##NR##1.jpg,10.0,146,ب,92,tehran,tehran
961416005##20181221_103412.jpg##NR##1.jpg,55.0,269,ی,79,tehran,tehran
961416005##20181221_103449.jpg##NR##1.jpg,55.0,847,ص,82,tehran,tehran
961416005##20181221_103506.jpg##NR##1.jpg,88.0,512,س,14,tehran,tehran
961416005##20181221_103547.jpg##NR##1.jpg,66.0,437,ن,69,tehran,tehran
961416005##20181221_103607.jpg##NR##1.jpg,44.0,261,ن,37,tehran,tehran
961416005##20181221_103634.jpg##NR##1.jpg,10.0,263,ل,13,tehran,tehran
961416005##20181221_103640.jpg##NR##1.jpg,44.0,369,ب,76,tehran,tehran
961416005##20181221_103646.jpg##NR##1.jpg,44.0,692,د,63,tehran,tehran
961416005##20181221_103649.jpg##NR##1.jpg,88.0,139,د,58,tehran,tehran
961416005##20181221_103654.jpg##NR##1.jpg,88.0,741,و,47,tehran,tehran
961416005##20181221_103654.jpg##NR##2.jpg,33.0,615,ت,67,tehran,tehran
961416005##20181221_103701.jpg##NR##1.jpg,44.0,119,ق,31,tehran,tehran
961416005##20181221_103705.jpg##NR##1.jpg,88.0,595,م,94,tehran,tehran
961416005##20181221_103710.jpg##NR##1.jpg,10.0,979,م,49,tehran,tehran
961416005##20181221_103714.jpg##NR##1.jpg,44.0,154,ط,84,tehran,tehran
961416005##20181221_103718.jpg##NR##1.jpg,66.0,642,و,31,tehran,tehran
961416005##20181221_103724.jpg##NR##1.jpg,88.0,337,ی,58,tehran,tehran
961416005##20181221_103733.jpg##NR##1.jpg,38.0,113,م,32,karaj,charbagh
961416005##20181221_103737.jpg##NR##1.jpg,88.0,393,م,27,tehran,tehran
